GOOG;13/10/2017 07:40:50;NA;1260000;1330000;NA;1262793;1424526;NA;1262793;1276871
GOOGL;13/10/2017 07:41:05;NA;NA;NA;NA;1530664;1618635;NA;1530664;1448393
HSIC;13/10/2017 07:41:48;NA;811887;1500000;NA;NA;NA;NA;811887;1397715
ILMN;13/10/2017 07:42:02;NA;657641;742273;NA;657641;881261;NA;657641;857061
INCY;13/10/2017 07:42:15;NA;1590000;1980000;NA;1590822;1475876;NA;1590822;1567546
INTC;13/10/2017 07:42:30;NA;18290000;22760000;NA;18286944;22190283;NA;18286944;22157468
INTU;13/10/2017 07:42:44;NA;1090000;1390000;NA;1094502;1295035;NA;1094502;1352064
ISRG;13/10/2017 07:43:02;NA;842875;748018;NA;842875;919923;NA;842875;807582
JD;13/10/2017 07:43:07;NA;14540000;13440000;NA;14544883;13072915;NA;14512304;14204965
KHC;13/10/2017 07:43:11;NA;2490000;3420000;NA;2485407;3087506;NA;2485407;3265427
LBTYA;13/10/2017 07:43:19;NA;2860000;2270000;NA;2858190;2090332;NA;2858190;2184683
LBTYK;13/10/2017 07:43:37;NA;3870000;3160000;NA;3874481;2821703;NA;3874481;NA
LLTC;13/10/2017 07:44:16;NA;0;2660000;NA;NA;NA;NA;NA;NA
LMCA;13/10/2017 07:44:55;NA;0;357056;NA;NA;NA;NA;NA;NA
LMCK;13/10/2017 07:45:08;NA;NA;NA;NA;NA;NA;NA;NA;NA
LRCX;13/10/2017 07:45:25;NA;2140000;1890000;NA;NA;NA;NA;2138747;2054755
LVNTA;13/10/2017 07:45:41;NA;771655;548646;NA;771655;583367;NA;771655;534504
MAR;13/10/2017 07:46:18;NA;1740000;2230000;NA;1739112;2131140;NA;1739112;2306823
MAT;13/10/2017 07:46:33;NA;6560000;8060000;NA;6555915;7548581;NA;6555915;7254924
MDLZ;13/10/2017 07:46:49;NA;5110000;9990000;NA;5110189;8341547;NA;5110189;9141761
MELI;13/10/2017 07:47:10;NA;3160000;651177;NA;3157432;811793;NA;3130103;804133
MNST;13/10/2017 07:47:48;NA;8731;9492;NA;1398891;1856035;NA;1398891;1925011
MSFT;13/10/2017 07:48:04;NA;16880000;17930000;NA;16876538;19967098;NA;16876538;17876252
MU;13/10/2017 07:48:25;NA;66790000;35680000;NA;66789764;30723946;NA;66789764;30873788
